Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
147.583µs,92.25µs,139.667µs,48.791µs,242.5µs,81.75µs,120.458µs,73.959µs,212.5µs,38.125µs,119.916µs,42.708µs
139.958µs,85.125µs,161.458µs,46.25µs,256.375µs,99.541µs,112.041µs,78.25µs,174.292µs,52.417µs,108.75µs,59.958µs
177.5µs,92.5µs,103.208µs,43.209µs,187.833µs,96.375µs,96.333µs,90.542µs,172.083µs,48.333µs,106.333µs,40.708µs
224.5µs,79.583µs,125.75µs,44.625µs,152.625µs,90.333µs,84.208µs,76.834µs,161µs,51.791µs,107µs,56.958µs
209.208µs,88.042µs,162.25µs,48.375µs,166µs,84.666µs,100.167µs,90.292µs,154.083µs,44.417µs,76.583µs,48.417µs
,,,,124.625µs,63.167µs,98.083µs,81.917µs,169.166µs,39.292µs,91.708µs,49.208µs
,,,,139µs,83.25µs,116.708µs,80.833µs,160.959µs,45.375µs,65.584µs,57.917µs
,,,,136.084µs,102.25µs,82.25µs,100.25µs,113.875µs,35.667µs,120.375µs,65.667µs
,,,,132.167µs,91.833µs,110µs,73.708µs,139.084µs,47.833µs,95.083µs,55.458µs
,,,,240.083µs,164.208µs,115.708µs,91.5µs,142.583µs,43.042µs,89.333µs,49.125µs
,,,,224.375µs,90.5µs,109.333µs,67.584µs,111.5µs,45.208µs,79.417µs,46.958µs
,,,,230.584µs,86.417µs,94.75µs,95.333µs,120.667µs,57.625µs,88.583µs,49.542µs
,,,,168.583µs,85.792µs,84.833µs,134.417µs,125.833µs,40.166µs,77.208µs,38.958µs
,,,,153.083µs,132.583µs,72.833µs,93.542µs,127.625µs,43µs,94.333µs,54.333µs
,,,,195µs,69µs,98.375µs,87.625µs,139.042µs,51.834µs,87.708µs,61.458µs
,,,,133.625µs,75µs,103.334µs,90.209µs,141.458µs,40.083µs,113.625µs,48.834µs
,,,,132µs,108.166µs,132.542µs,79.917µs,143.792µs,48.416µs,99.292µs,42µs
,,,,146.25µs,102.333µs,85.583µs,80.958µs,121µs,45.333µs,87.916µs,44.833µs
,,,,177.5µs,99.75µs,106.208µs,81.792µs,139.583µs,57.459µs,93.333µs,46.666µs
,,,,121.792µs,173.125µs,112.292µs,80.916µs,153.625µs,42.042µs,80.417µs,62.958µs
,,,,150.667µs,72.125µs,74µs,82.542µs,161.209µs,52.75µs,130.125µs,44.416µs
,,,,137.5µs,101.083µs,89.917µs,82.417µs,116.5µs,39.334µs,98µs,48.167µs
,,,,164.416µs,66.833µs,87.125µs,74.917µs,174.875µs,48.958µs,90.875µs,52.833µs
,,,,176.708µs,94.583µs,91.208µs,104.958µs,207.333µs,52.375µs,99µs,53.833µs
,,,,148.792µs,157.792µs,106.209µs,132.583µs,166.166µs,56.417µs,58.625µs,56.916µs
,,,,164.75µs,108.792µs,88.084µs,90.292µs,159.958µs,44.625µs,67.083µs,36.875µs
,,,,173.667µs,126.917µs,150.625µs,93.542µs,160.75µs,45.125µs,66.833µs,49µs
,,,,163.541µs,69.875µs,80.583µs,58.667µs,153.792µs,59.459µs,53.917µs,52.833µs
,,,,180.458µs,106.75µs,91.084µs,79.542µs,143.417µs,55.25µs,50µs,60.084µs
,,,,186µs,113.125µs,95.334µs,89.791µs,205.75µs,46.292µs,70.042µs,45.75µs
,,,,168.667µs,79.291µs,98.75µs,124.459µs,152.709µs,45.417µs,53.125µs,39.542µs
,,,,178.959µs,73.708µs,89.542µs,83.416µs,157.625µs,44.042µs,79.167µs,61.833µs
,,,,156.959µs,81.25µs,110.459µs,116.75µs,187.834µs,45.584µs,47.333µs,57.083µs
,,,,120.458µs,97.292µs,101.584µs,123.041µs,161.167µs,42.917µs,44.542µs,62.666µs
,,,,162.584µs,82.625µs,143.375µs,84.209µs,274.667µs,43.917µs,55.458µs,60.667µs
,,,,158.625µs,77.292µs,100.75µs,86.083µs,225µs,40.917µs,52µs,60.208µs
,,,,134.583µs,92.125µs,105.917µs,87.292µs,127.583µs,42.541µs,53.75µs,54.417µs
,,,,122.083µs,76.667µs,94.583µs,122.291µs,189.333µs,40.292µs,51.334µs,53.083µs
,,,,124.833µs,84.792µs,124.666µs,79.416µs,187.75µs,41.875µs,56.917µs,56.375µs
,,,,87.167µs,83.917µs,111.917µs,62µs,159.041µs,38.625µs,45.041µs,60.5µs
,,,,133.666µs,66.958µs,110.666µs,80.5µs,250.459µs,62.667µs,70.75µs,44.042µs
,,,,135.917µs,86.75µs,107.167µs,79.084µs,182.25µs,49.667µs,48.708µs,50.333µs
,,,,117.25µs,82.417µs,80.333µs,96.167µs,235.084µs,58.333µs,55.083µs,50.583µs
,,,,126.5µs,85.583µs,82.083µs,89.167µs,133.125µs,43.583µs,52.334µs,45.041µs
,,,,144.208µs,75.792µs,98.333µs,90.709µs,164.375µs,45.916µs,53.333µs,39µs
