Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort - 10000,Quick Sort - 10000
,,,,124.424µs,268.479µs
,,,,121.827µs,318.757µs
,,,,158.41µs,689.956µs
,,,,121.784µs,578.449µs
,,,,138.059µs,435.42µs
,,,,166.044µs,1.620935ms
,,,,177.646µs,738.737µs
,,,,167.537µs,430.626µs
,,,,290.951µs,415.992µs
,,,,164.191µs,360.923µs
,,,,180.27µs,389.591µs
,,,,164.185µs,419.997µs
,,,,352.841µs,447.132µs
,,,,244.488µs,338.499µs
,,,,181.833µs,319.445µs
,,,,171.124µs,366.023µs
,,,,202.764µs,331.534µs
,,,,232.281µs,377.181µs
,,,,277.518µs,320.756µs
,,,,1.464423ms,281.595µs
,,,,332.345µs,286.673µs
,,,,192.061µs,233.78µs
,,,,162.523µs,278.893µs
,,,,184.696µs,222.416µs
,,,,150.435µs,267.571µs
,,,,133.073µs,262.225µs
,,,,129.671µs,310.538µs
,,,,161.614µs,274.778µs
,,,,127.415µs,300.851µs
,,,,119.894µs,281.383µs
,,,,130.855µs,256.482µs
,,,,139.114µs,296.288µs
,,,,142.593µs,280.897µs
,,,,134.357µs,288.399µs
,,,,138.298µs,256.506µs
,,,,141.271µs,274.133µs
,,,,140.075µs,287.121µs
,,,,131.914µs,629.54µs
,,,,137.492µs,614.521µs
,,,,178.814µs,385.321µs
,,,,138.263µs,526.752µs
,,,,124.621µs,2.134158ms
,,,,133.081µs,1.07435ms
,,,,162.201µs,419.495µs
,,,,139.204µs,333.35µs
,,,,153.42µs,339.683µs
,,,,138.078µs,369.014µs
,,,,147.077µs,311.11µs
,,,,155.612µs,331.299µs
,,,,134.541µs,323.712µs
,,,,127.108µs,318.449µs
,,,,145.351µs,341.548µs
,,,,139.276µs,279.583µs
,,,,128.901µs,240.86µs
,,,,133.834µs,337.332µs
,,,,122.033µs,256.335µs
,,,,143.241µs,294.543µs
,,,,138.904µs,281.844µs
,,,,141.129µs,270.992µs
,,,,133.542µs,262.871µs
,,,,136.514µs,280.913µs
,,,,146.48µs,283.03µs
,,,,123.715µs,272.69µs
,,,,147.694µs,245.045µs
,,,,113.684µs,257.643µs
,,,,507.765µs,695.733µs
,,,,130.506µs,235.673µs
,,,,125.717µs,222.333µs
,,,,136.003µs,238.696µs
,,,,120.142µs,261.804µs
,,,,129.427µs,288.804µs
,,,,114.849µs,247.897µs
,,,,114.68µs,286.866µs
,,,,130.065µs,271.513µs
,,,,121.04µs,285.753µs
,,,,117.406µs,265.02µs
,,,,114.781µs,289.05µs
,,,,121.581µs,292.642µs
,,,,120.118µs,284.63µs
,,,,119.711µs,298.151µs
,,,,123.24µs,295.563µs
,,,,116.836µs,404.22µs
,,,,106.991µs,1.19747ms
,,,,122.717µs,485.669µs
,,,,120.465µs,1.05995ms
,,,,106.903µs,669.465µs
,,,,115.243µs,536.81µs
,,,,446.42µs,622.463µs
,,,,207.942µs,471.492µs
,,,,159.031µs,389.271µs
,,,,127.619µs,329.533µs
,,,,110.38µs,336.581µs
,,,,148.554µs,292.771µs
,,,,133.389µs,333.482µs
,,,,139.153µs,309.176µs
,,,,140.366µs,306.512µs
,,,,145.973µs,253.829µs
,,,,137.174µs,247.077µs
,,,,136.231µs,313.011µs
,,,,177.405µs,252.158µs
,,,,148.945µs,281.163µs
,,,,494.09µs,239.49µs
,,,,2.074797ms,261.396µs
,,,,1.104245ms,251.923µs
,,,,436.408µs,271.919µs
,,,,250.858µs,283.396µs
,,,,204.171µs,263.693µs
,,,,146.951µs,368.686µs
,,,,132.068µs,269.738µs
,,,,146.226µs,297.626µs
,,,,163.409µs,299.725µs
,,,,174.725µs,266.388µs
,,,,145.248µs,263.665µs
,,,,148.827µs,258.501µs
,,,,139.685µs,253.859µs
,,,,149.838µs,299.954µs
,,,,110.51µs,267.418µs
,,,,125.505µs,314.727µs
,,,,154.231µs,266.023µs
,,,,115.15µs,262.511µs
,,,,145.88µs,291.773µs
,,,,315.554µs,301.054µs
,,,,244.278µs,464.314µs
,,,,149.264µs,2.005371ms
,,,,176.39µs,1.122528ms
,,,,197.971µs,567.817µs
,,,,132.534µs,327.211µs
,,,,131.386µs,324.552µs
,,,,101.703µs,411.687µs
,,,,136.164µs,662.346µs
,,,,120.165µs,378.528µs
,,,,118.219µs,363.146µs
,,,,139.256µs,325.597µs
,,,,128.859µs,301.448µs
,,,,147.008µs,285.928µs
,,,,111.851µs,500.539µs
,,,,131.243µs,307.859µs
,,,,119.881µs,287.037µs
,,,,131.143µs,337.011µs
,,,,127.621µs,341.916µs
,,,,118.932µs,296.944µs
,,,,138.859µs,244.183µs
,,,,134.544µs,248.102µs
,,,,131.901µs,234.202µs
,,,,125.514µs,202.527µs
,,,,160.167µs,214.786µs
,,,,167.927µs,260.905µs
,,,,180.015µs,221.796µs
,,,,136.698µs,225.999µs
,,,,106.299µs,230.207µs
,,,,115.513µs,231.565µs
,,,,116.699µs,243.64µs
,,,,109.611µs,261.186µs
,,,,125.088µs,276.664µs
,,,,118.264µs,272.278µs
,,,,118.62µs,253.08µs
,,,,116.07µs,261.891µs
,,,,112.569µs,249.65µs
,,,,111.988µs,259.942µs
,,,,121.371µs,255.238µs
,,,,107.896µs,252.174µs
,,,,104.401µs,245.781µs
,,,,123.069µs,278.479µs
,,,,112.679µs,310.346µs
,,,,104.857µs,325.044µs
,,,,112.467µs,486.253µs
,,,,118.111µs,490.011µs
,,,,115.741µs,464.622µs
,,,,103.242µs,455.085µs
,,,,124.335µs,385.537µs
,,,,115.868µs,427.14µs
,,,,118.487µs,306.24µs
,,,,122.308µs,322.129µs
,,,,127.603µs,350.096µs
,,,,116.265µs,357.777µs
,,,,121.442µs,362.41µs
,,,,136.903µs,419.84µs
,,,,143.495µs,438.883µs
,,,,135.631µs,378.979µs
,,,,174.522µs,317.765µs
,,,,135.29µs,364.325µs
,,,,137.266µs,359.556µs
,,,,184.588µs,405.343µs
,,,,151.632µs,277.213µs
,,,,257.484µs,267.56µs
,,,,164.111µs,259.371µs
,,,,145.075µs,275.167µs
,,,,196.513µs,265.651µs
,,,,168.794µs,278.176µs
,,,,201.037µs,201.072µs
,,,,175.036µs,261.251µs
,,,,154.555µs,263.882µs
,,,,289.639µs,261.913µs
,,,,256.778µs,252.448µs
,,,,419.975µs,227.212µs
,,,,195.381µs,262.598µs
,,,,373.097µs,254.45µs
,,,,608.687µs,270.876µs
,,,,274.11µs,285.352µs
,,,,286.646µs,277.031µs
,,,,241.525µs,266.204µs
,,,,286.162µs,297.945µs
,,,,193.634µs,286.719µs
,,,,175.918µs,242.563µs
,,,,151.964µs,282.874µs
,,,,148.868µs,258.752µs
,,,,144.28µs,280.739µs
,,,,182.078µs,287.462µs
,,,,160.916µs,265.804µs
,,,,154.838µs,279.392µs
,,,,118.468µs,274.542µs
,,,,128.825µs,268.998µs
,,,,133.477µs,315.197µs
,,,,148.824µs,366.615µs
,,,,135.521µs,636.543µs
,,,,132.855µs,611.07µs
,,,,135.866µs,576.229µs
,,,,145.793µs,861.239µs
,,,,113.597µs,679.465µs
,,,,151.019µs,480.022µs
,,,,146.751µs,381.284µs
,,,,122.233µs,571.38µs
,,,,130.184µs,571.936µs
,,,,156.516µs,641.984µs
,,,,133.518µs,351.764µs
,,,,122.832µs,318.066µs
,,,,141.497µs,275.017µs
,,,,120.396µs,293.464µs
,,,,120.778µs,273.641µs
,,,,163.625µs,255.493µs
,,,,122.669µs,307.98µs
,,,,119.792µs,317.983µs
,,,,141.165µs,300.463µs
,,,,152.604µs,456.008µs
,,,,131.507µs,317.989µs
,,,,123.194µs,301.48µs
,,,,118.929µs,340.532µs
,,,,124.789µs,305.923µs
,,,,119.866µs,278.075µs
,,,,119.147µs,381.543µs
,,,,114.818µs,264.314µs
,,,,131.895µs,230.621µs
,,,,142.235µs,276.652µs
,,,,138.885µs,236.465µs
,,,,129.645µs,222.936µs
,,,,165.141µs,250.136µs
,,,,124.178µs,230.395µs
,,,,108.389µs,260.221µs
,,,,104.806µs,247.867µs
,,,,102.835µs,286.717µs
,,,,128.882µs,269.081µs
,,,,114.07µs,278.812µs
,,,,111.949µs,259.319µs
,,,,120.362µs,307.136µs
,,,,109.186µs,359.53µs
,,,,100.413µs,475.454µs
,,,,117.651µs,444.79µs
,,,,111.259µs,1.378746ms
,,,,105.877µs,569.973µs
,,,,107.14µs,877.271µs
,,,,95.696µs,599.569µs
,,,,112.241µs,928.227µs
,,,,116.005µs,503.303µs
,,,,114.481µs,441.971µs
,,,,110.092µs,353.943µs
,,,,106.304µs,368.963µs
,,,,113.884µs,246.809µs
,,,,117.896µs,258.507µs
,,,,122.945µs,289.956µs
,,,,139.902µs,266.212µs
,,,,124.756µs,256.596µs
,,,,107.054µs,270.689µs
,,,,125.644µs,248.468µs
,,,,136.892µs,315.314µs
,,,,118.753µs,264.3µs
,,,,144.943µs,246.387µs
,,,,153.791µs,268.852µs
,,,,117.395µs,241.991µs
,,,,117.951µs,243.659µs
,,,,174.009µs,270.826µs
,,,,126.314µs,195.942µs
,,,,130.486µs,260.944µs
,,,,165.81µs,350.017µs
,,,,154.774µs,232.949µs
,,,,167.009µs,249.283µs
,,,,145.976µs,249.408µs
,,,,141.802µs,242.504µs
,,,,139.899µs,261.668µs
,,,,151.182µs,242.812µs
,,,,160.178µs,247.639µs
,,,,157.626µs,223.085µs
,,,,207.697µs,262.956µs
,,,,240.193µs,269.605µs
,,,,284.559µs,309.283µs
,,,,1.580598ms,317.852µs
,,,,948.269µs,476.999µs
,,,,275.557µs,529.566µs
,,,,162.257µs,621.641µs
,,,,142.303µs,521.514µs
,,,,181.678µs,425.047µs
,,,,117.01µs,359.83µs
,,,,115.576µs,320.15µs
,,,,125.058µs,277.171µs
,,,,144.614µs,329.044µs
,,,,136.84µs,326.588µs
,,,,136.083µs,364.581µs
,,,,150.058µs,310.817µs
,,,,126.223µs,465.664µs
,,,,120.1µs,430.296µs
,,,,123.619µs,441.948µs
,,,,125.628µs,382.341µs
,,,,124.173µs,372.755µs
,,,,126.378µs,292.82µs
,,,,140.58µs,286.664µs
,,,,134.406µs,293.287µs
,,,,121.046µs,286.716µs
,,,,145.241µs,247.885µs
,,,,161.496µs,275.164µs
,,,,123.66µs,265.775µs
,,,,140.367µs,267.396µs
,,,,119.831µs,255.113µs
,,,,123.196µs,248.343µs
,,,,169.789µs,297.351µs
,,,,134.228µs,286.89µs
,,,,125.568µs,272.894µs
,,,,137.312µs,247.569µs
,,,,164.706µs,301.601µs
,,,,148.309µs,277.796µs
,,,,135.961µs,309.061µs
,,,,137.278µs,276.848µs
,,,,126.901µs,258.617µs
,,,,152.858µs,240.885µs
,,,,135.08µs,188.18µs
,,,,139.583µs,239.164µs
,,,,145.471µs,229.056µs
,,,,111.61µs,248.249µs
,,,,145.483µs,243.145µs
,,,,140.693µs,260.148µs
,,,,162.089µs,262.397µs
,,,,131.39µs,284.328µs
,,,,129.337µs,259.679µs
,,,,108.752µs,239.242µs
,,,,116.149µs,274.569µs
,,,,160.958µs,283.316µs
,,,,116.839µs,275.649µs
,,,,106.982µs,325.701µs
,,,,109.936µs,445.956µs
,,,,116.484µs,1.024737ms
,,,,115.481µs,1.762715ms
,,,,99.348µs,495.825µs
,,,,117.136µs,348.531µs
,,,,114.503µs,421.08µs
,,,,97.754µs,342.809µs
,,,,127.357µs,345.305µs
,,,,112.776µs,320.396µs
,,,,96.062µs,377.739µs
,,,,111.267µs,342.912µs
,,,,107.74µs,307.607µs
,,,,145.359µs,300.094µs
,,,,122.639µs,298.783µs
,,,,115.884µs,232.871µs
,,,,108.549µs,283.86µs
,,,,127.53µs,280.225µs
,,,,121.215µs,252.465µs
,,,,119.098µs,273.558µs
,,,,125.119µs,248.816µs
,,,,125.803µs,333.55µs
,,,,109.538µs,296.251µs
,,,,115.959µs,270.497µs
,,,,115.38µs,275.732µs
,,,,114.42µs,265.017µs
,,,,112.824µs,244.613µs
,,,,117.217µs,298.005µs
,,,,135.539µs,305.723µs
,,,,167.361µs,260.761µs
,,,,132.662µs,238.838µs
,,,,153.338µs,227.293µs
,,,,124.964µs,245.164µs
,,,,121.95µs,258.517µs
,,,,141.78µs,246.879µs
,,,,126.371µs,219.34µs
,,,,154.75µs,212.581µs
,,,,158.347µs,225.951µs
,,,,150.291µs,249.672µs
,,,,170.464µs,205.606µs
,,,,337.818µs,274.925µs
,,,,296.943µs,311.83µs
,,,,203.993µs,287.617µs
,,,,299.712µs,310.272µs
,,,,623.594µs,403.845µs
,,,,415.489µs,472.661µs
,,,,416.594µs,573.543µs
,,,,379.989µs,476.927µs
,,,,263.948µs,1.630558ms
,,,,280.681µs,511.254µs
,,,,200.155µs,381.105µs
,,,,190.8µs,348.306µs
,,,,268.425µs,355.879µs
,,,,148.253µs,329.963µs
,,,,184.517µs,373.739µs
,,,,159.485µs,558.948µs
,,,,159.82µs,402.223µs
,,,,137.185µs,287.074µs
,,,,136.999µs,331.104µs
,,,,143.05µs,277.426µs
,,,,133.469µs,304.09µs
,,,,124.854µs,280.857µs
,,,,126.182µs,254.788µs
,,,,131.66µs,356.978µs
,,,,130.799µs,299.414µs
,,,,138.067µs,323.264µs
,,,,131.183µs,315.521µs
,,,,138.78µs,299.137µs
,,,,148.366µs,379.346µs
,,,,143.141µs,336.506µs
,,,,137.791µs,317.899µs
,,,,161.306µs,266.866µs
,,,,147.159µs,258.456µs
,,,,141.57µs,248.013µs
,,,,131.849µs,276.062µs
,,,,126.675µs,278.397µs
,,,,132.186µs,256.141µs
,,,,121.917µs,244.096µs
,,,,129.906µs,678.559µs
,,,,127.573µs,532.829µs
,,,,119.161µs,422.236µs
,,,,120.874µs,370.201µs
,,,,127.583µs,345.152µs
,,,,150.212µs,305.51µs
,,,,142.69µs,312.891µs
,,,,135.424µs,309.077µs
,,,,135.238µs,395.554µs
,,,,149.362µs,494.646µs
,,,,128.115µs,357.159µs
,,,,130.545µs,1.913878ms
,,,,131.144µs,582.47µs
,,,,126.955µs,1.013691ms
,,,,154.782µs,410.633µs
,,,,135.129µs,463.391µs
,,,,127.643µs,388.108µs
,,,,130.529µs,349.88µs
,,,,140.073µs,277.51µs
,,,,121.97µs,249.644µs
,,,,135.164µs,272.703µs
,,,,150.053µs,279.193µs
,,,,141.241µs,294.348µs
,,,,165.53µs,282.416µs
,,,,126.695µs,253.954µs
,,,,115.446µs,250.005µs
,,,,133.891µs,229.868µs
,,,,112.266µs,279.111µs
,,,,125.915µs,248.317µs
,,,,116.184µs,242.974µs
,,,,90.464µs,233.372µs
,,,,94.918µs,272.454µs
,,,,108.893µs,277.338µs
,,,,124.228µs,246.896µs
,,,,118.325µs,242.884µs
,,,,113.018µs,249.763µs
,,,,110.612µs,240.381µs
,,,,118.04µs,239.38µs
,,,,121.859µs,264.041µs
,,,,110.644µs,260.32µs
,,,,119.042µs,268.991µs
,,,,117.324µs,277.074µs
,,,,117.8µs,356.342µs
,,,,115.063µs,279.039µs
,,,,112.62µs,288.72µs
,,,,112.834µs,299.542µs
,,,,130.561µs,281.557µs
,,,,116.043µs,266.575µs
,,,,135.718µs,299.154µs
,,,,113.502µs,287.412µs
,,,,124.334µs,441.929µs
,,,,169.041µs,1.05159ms
,,,,117.73µs,563.227µs
,,,,115.365µs,1.437912ms
,,,,114.954µs,909.143µs
,,,,134.394µs,558.458µs
,,,,126.399µs,591.263µs
,,,,136.543µs,328.194µs
,,,,177.854µs,354.742µs
,,,,185.765µs,363.244µs
,,,,171.341µs,428.921µs
,,,,162.777µs,428.687µs
,,,,155.102µs,616.747µs
,,,,186.28µs,351.77µs
,,,,250.675µs,289.573µs
,,,,174.1µs,338.192µs
,,,,152.79µs,303.412µs
,,,,295.5µs,304.282µs
,,,,184.953µs,268.425µs
,,,,166.893µs,298.79µs
,,,,152.17µs,259.747µs
,,,,872.222µs,304.28µs
,,,,720.493µs,285.507µs
,,,,744.326µs,257.693µs
,,,,257.871µs,271.826µs
,,,,182.263µs,308.227µs
,,,,197.724µs,370.31µs
,,,,163.55µs,456.571µs
,,,,147.267µs,283.795µs
,,,,140.518µs,279.95µs
,,,,649.663µs,275.275µs
,,,,211.186µs,287.723µs
,,,,146.499µs,269.193µs
,,,,142.987µs,269.997µs
,,,,129.716µs,278.478µs
,,,,140.099µs,278.448µs
,,,,147.07µs,260.951µs
,,,,135.915µs,358.237µs
,,,,120.495µs,425.336µs
,,,,149.544µs,549.068µs
,,,,113.32µs,350.237µs
,,,,112.877µs,413.982µs
,,,,149.221µs,1.23352ms
,,,,138.87µs,780.161µs
,,,,139.671µs,808.929µs
,,,,137.096µs,553.212µs
,,,,127.773µs,404.896µs
,,,,127.169µs,348.809µs
,,,,120.614µs,358.485µs
,,,,145.157µs,319.116µs
,,,,115.802µs,274.285µs
,,,,173.031µs,317.078µs
,,,,144.125µs,306.072µs
,,,,134.782µs,296.538µs
,,,,136.813µs,274.419µs
,,,,131.054µs,314.466µs
,,,,119.304µs,272.974µs
,,,,124.318µs,238.539µs
,,,,124.094µs,270.189µs
,,,,127.542µs,302.421µs
,,,,98.765µs,271.091µs
,,,,129.009µs,238.917µs
,,,,116.379µs,282.008µs
,,,,125.79µs,275.23µs
,,,,128.455µs,273.555µs
,,,,121.934µs,265.735µs
,,,,135.711µs,251.424µs
,,,,118.482µs,290.156µs
,,,,139.84µs,291.216µs
,,,,141.552µs,274.72µs
,,,,171.625µs,271.976µs
,,,,128.414µs,249.452µs
,,,,119.008µs,254.778µs
,,,,123.929µs,270.002µs
,,,,124.786µs,220.864µs
,,,,103.09µs,272.724µs
,,,,117.299µs,247.594µs
,,,,117.602µs,243.888µs
,,,,109.96µs,263.912µs
,,,,111.617µs,281.242µs
,,,,118.076µs,268.39µs
,,,,121.01µs,303.839µs
,,,,122.004µs,384.252µs
,,,,127.023µs,430.359µs
,,,,119.854µs,602.838µs
,,,,114.709µs,561.484µs
,,,,118.782µs,437.113µs
,,,,123.627µs,280.897µs
,,,,127.265µs,335.962µs
,,,,131.348µs,387.748µs
,,,,146.757µs,388.768µs
,,,,145.136µs,314.529µs
,,,,141.683µs,330.956µs
,,,,164.755µs,332.884µs
,,,,126.644µs,375.852µs
,,,,118.96µs,413.904µs
,,,,150.407µs,393.623µs
,,,,134.09µs,356.308µs
,,,,123.252µs,380.547µs
,,,,155.402µs,329.221µs
,,,,180.082µs,289.973µs
,,,,203.975µs,278.848µs
,,,,153.943µs,316.401µs
,,,,155.301µs,259.136µs
,,,,208.084µs,264.448µs
,,,,176.32µs,254.908µs
,,,,2.719876ms,281.598µs
,,,,521.418µs,280.328µs
,,,,214.377µs,265.817µs
,,,,174.404µs,309.467µs
,,,,160.416µs,317.698µs
,,,,134.148µs,253.305µs
,,,,118.359µs,272.423µs
,,,,142.143µs,291.972µs
,,,,149.262µs,278.59µs
,,,,135.379µs,335.108µs
,,,,148.752µs,291.471µs
,,,,134.047µs,229.844µs
,,,,141.121µs,271.788µs
,,,,137.387µs,255.399µs
,,,,134.015µs,246.267µs
,,,,146.156µs,240.023µs
,,,,140.255µs,273.956µs
,,,,135.159µs,231.042µs
,,,,130.394µs,256.53µs
,,,,144.82µs,256.124µs
,,,,120.836µs,231.004µs
,,,,123.888µs,290.636µs
,,,,144.722µs,297.818µs
,,,,132.342µs,347.591µs
,,,,130.181µs,1.128433ms
,,,,138.554µs,715.643µs
,,,,137.841µs,840.142µs
,,,,129.136µs,477.311µs
,,,,144.026µs,319.463µs
,,,,131.592µs,321.762µs
,,,,129.924µs,352.189µs
,,,,140.499µs,304.741µs
,,,,141.755µs,477.674µs
,,,,188.169µs,408.952µs
,,,,140.114µs,423.57µs
,,,,136.924µs,470.807µs
,,,,132.606µs,390.376µs
,,,,136.064µs,335.865µs
,,,,123.545µs,338.111µs
,,,,126.078µs,704.207µs
,,,,158.048µs,388.827µs
,,,,150.015µs,368.352µs
,,,,139.677µs,262.872µs
,,,,134.002µs,229.594µs
,,,,141.041µs,277.028µs
,,,,129.456µs,289.538µs
,,,,116.771µs,224.814µs
,,,,122.495µs,273.566µs
,,,,109.784µs,310.471µs
,,,,115.333µs,291.41µs
,,,,112.137µs,251.634µs
,,,,113.936µs,239.093µs
,,,,122.749µs,236.999µs
,,,,128.051µs,258.432µs
,,,,135.035µs,242.157µs
,,,,125.254µs,237.966µs
,,,,123.541µs,249.876µs
,,,,112.76µs,257.936µs
,,,,108.135µs,217.773µs
,,,,123.183µs,230.739µs
,,,,108.431µs,233.307µs
,,,,108.691µs,265.466µs
,,,,114.503µs,256.967µs
,,,,123.737µs,276.538µs
,,,,99.031µs,299.222µs
,,,,114.932µs,286.981µs
,,,,112.801µs,236.845µs
,,,,116.644µs,326.193µs
,,,,126.3µs,367.29µs
,,,,128.276µs,427.301µs
,,,,110.162µs,447.21µs
,,,,124.045µs,1.078929ms
,,,,138.748µs,808.229µs
,,,,120.005µs,512.534µs
,,,,112.4µs,462.081µs
,,,,120.454µs,439.094µs
,,,,136.654µs,373.93µs
,,,,128.77µs,735.852µs
,,,,125.894µs,789.226µs
,,,,166.87µs,529.447µs
,,,,139.677µs,892.915µs
,,,,148.595µs,445.782µs
,,,,153.515µs,313.204µs
,,,,129.256µs,308.516µs
,,,,149.741µs,296.07µs
,,,,166.764µs,290.745µs
,,,,151.995µs,290.085µs
,,,,147.497µs,251.77µs
,,,,249.852µs,305.877µs
,,,,199.439µs,268.91µs
,,,,198.54µs,244.289µs
,,,,177.025µs,253.329µs
,,,,189.688µs,240.017µs
,,,,732.309µs,266.432µs
,,,,305.982µs,256.319µs
,,,,897.681µs,256.912µs
,,,,668.378µs,233.599µs
,,,,389.88µs,227.77µs
,,,,169.238µs,256.474µs
,,,,145.571µs,242.058µs
,,,,153.332µs,249.484µs
,,,,145.516µs,236.721µs
,,,,139.979µs,278.966µs
,,,,142.964µs,323.945µs
,,,,183.368µs,291.902µs
,,,,153.965µs,279.272µs
,,,,132.049µs,305.023µs
,,,,131.553µs,297.98µs
,,,,132.12µs,286.602µs
,,,,141.349µs,379.869µs
,,,,136.597µs,572.75µs
,,,,130.74µs,725.953µs
,,,,137.955µs,678.297µs
,,,,122.626µs,492.957µs
,,,,107.127µs,1.495754ms
,,,,159.582µs,427.523µs
,,,,133.717µs,403.628µs
,,,,208.935µs,330.511µs
,,,,168.926µs,845.177µs
,,,,124.151µs,482.152µs
,,,,132.414µs,364.953µs
,,,,167.553µs,328.219µs
,,,,138.449µs,287.24µs
,,,,148.999µs,295.929µs
,,,,140.594µs,268.669µs
,,,,154.025µs,256.428µs
,,,,159.978µs,292.588µs
,,,,143.988µs,624.627µs
,,,,140.048µs,290.974µs
,,,,150.793µs,283.518µs
,,,,131.045µs,301.623µs
,,,,120.939µs,324.963µs
,,,,138.277µs,301.804µs
,,,,123.609µs,231.447µs
,,,,116.755µs,267.437µs
,,,,121.95µs,230.006µs
,,,,127.155µs,255.218µs
,,,,129.418µs,284.316µs
,,,,122.377µs,430.662µs
,,,,131.162µs,265.181µs
,,,,135.824µs,664.417µs
,,,,164.369µs,234.848µs
,,,,132.664µs,236.093µs
,,,,105.527µs,276.149µs
,,,,119.341µs,281.654µs
,,,,124.352µs,266.153µs
,,,,110.003µs,301.864µs
,,,,119.309µs,309.919µs
,,,,107.414µs,433.164µs
,,,,114.226µs,402.854µs
,,,,125.04µs,897.127µs
,,,,138.986µs,638.096µs
,,,,109.216µs,481.072µs
,,,,133.19µs,350.843µs
,,,,102.456µs,330.971µs
,,,,108.388µs,335.966µs
,,,,112.339µs,312.47µs
,,,,106.062µs,368.882µs
,,,,101.952µs,307.22µs
,,,,112.495µs,325.28µs
,,,,112.147µs,385.765µs
,,,,117.948µs,458.777µs
,,,,108.494µs,347.481µs
,,,,119.168µs,314.239µs
,,,,118.806µs,271.43µs
,,,,114.045µs,300.039µs
,,,,113.428µs,344.204µs
,,,,123.052µs,309.233µs
,,,,125.712µs,301.782µs
,,,,114.928µs,280.725µs
,,,,134.728µs,250.833µs
,,,,140.972µs,287.354µs
,,,,120.77µs,272.712µs
,,,,126.886µs,245.086µs
,,,,134.63µs,305.618µs
,,,,129.549µs,318.02µs
,,,,118.418µs,320.667µs
,,,,159.094µs,246.81µs
,,,,154.648µs,238.386µs
,,,,139.425µs,244.287µs
,,,,148.797µs,244.285µs
,,,,154.434µs,242.377µs
,,,,246.968µs,264.971µs
,,,,216.072µs,247.859µs
,,,,255.332µs,283.957µs
,,,,273.115µs,253.988µs
,,,,396.75µs,270.498µs
,,,,242.769µs,285.231µs
,,,,278.903µs,271.296µs
,,,,300.348µs,227.365µs
,,,,289.727µs,259.509µs
,,,,271.23µs,292.007µs
,,,,242.67µs,285.931µs
,,,,294.809µs,276.755µs
,,,,308.013µs,317.55µs
,,,,184.767µs,322.777µs
,,,,256.746µs,321.453µs
,,,,333.369µs,376.612µs
,,,,171.069µs,479.997µs
,,,,134.893µs,534.495µs
,,,,143.515µs,439.78µs
,,,,128.883µs,803.809µs
,,,,138.577µs,554.799µs
,,,,182.358µs,514.797µs
,,,,142.175µs,332.257µs
,,,,132.126µs,385.224µs
,,,,146.374µs,316.877µs
,,,,125.082µs,315.407µs
,,,,155.345µs,365.743µs
,,,,125.584µs,307.631µs
,,,,138.702µs,295.61µs
,,,,131.241µs,414.723µs
,,,,131.054µs,324.811µs
,,,,125.865µs,283.283µs
,,,,131µs,315.713µs
,,,,128.452µs,286.825µs
,,,,121.891µs,324.622µs
,,,,126.22µs,303.725µs
,,,,130.929µs,244.188µs
,,,,157.235µs,305.944µs
,,,,124.18µs,438.994µs
,,,,127.801µs,323.29µs
,,,,135.319µs,325.756µs
,,,,127.658µs,286.931µs
,,,,128.403µs,298.238µs
,,,,125.114µs,282.248µs
,,,,142.605µs,277.263µs
,,,,119.386µs,276.381µs
,,,,130.115µs,320.327µs
,,,,144.882µs,246.019µs
,,,,125.31µs,233.859µs
,,,,139.523µs,272.15µs
,,,,135.624µs,276.879µs
,,,,142.429µs,301.008µs
,,,,157.305µs,267.183µs
,,,,454.169µs,280.984µs
,,,,146.627µs,267.574µs
,,,,170.213µs,269.803µs
,,,,156.424µs,313.332µs
,,,,129.858µs,272.092µs
,,,,137.514µs,289.411µs
,,,,120.383µs,396.106µs
,,,,124.417µs,619.273µs
,,,,113.392µs,559.663µs
,,,,118.824µs,417.493µs
,,,,123.57µs,405.115µs
,,,,112.975µs,559.285µs
,,,,121.792µs,491.112µs
,,,,117.174µs,544.782µs
,,,,112.256µs,683.584µs
,,,,117.684µs,349.606µs
,,,,121.098µs,323.618µs
,,,,115.14µs,363.94µs
,,,,104.762µs,401.835µs
,,,,105.422µs,277.036µs
,,,,110.033µs,323.056µs
,,,,109.316µs,315.355µs
,,,,106.853µs,315.442µs
,,,,118.532µs,317.753µs
,,,,110.37µs,290.143µs
,,,,114.295µs,346.021µs
,,,,111.503µs,293.436µs
,,,,109.292µs,311.551µs
,,,,110.473µs,325.432µs
,,,,122.171µs,329.254µs
,,,,116.571µs,278.647µs
,,,,123.587µs,296.931µs
,,,,122.765µs,258.282µs
,,,,142.744µs,279.658µs
,,,,118.378µs,254.255µs
,,,,116.321µs,249.78µs
,,,,159.65µs,278.24µs
,,,,136.334µs,283.863µs
,,,,150.251µs,248.988µs
,,,,173.57µs,223.6µs
,,,,144.916µs,263.686µs
,,,,140.446µs,301.374µs
,,,,159.821µs,279.478µs
,,,,143.405µs,285.615µs
,,,,151.204µs,275.736µs
,,,,174.311µs,280.882µs
,,,,209.899µs,296.509µs
,,,,1.243552ms,260.999µs
,,,,589.979µs,220.929µs
,,,,480.371µs,267.185µs
,,,,389.364µs,287.89µs
,,,,644.936µs,318.852µs
,,,,223.506µs,366.544µs
,,,,151.4µs,314.324µs
,,,,143.065µs,1.119155ms
