Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,136.745µs,124.406µs
,,,,126.97µs,138.68µs
,,,,135.713µs,142.093µs
,,,,150.559µs,133.383µs
,,,,138.665µs,133.796µs
,,,,135.994µs,141.587µs
,,,,119.17µs,141.865µs
,,,,160.247µs,152.933µs
,,,,158.813µs,157.11µs
,,,,144.405µs,151.395µs
,,,,166.709µs,201.649µs
,,,,205.833µs,154.385µs
,,,,160.819µs,165.501µs
,,,,143.33µs,186.157µs
,,,,151.21µs,227.324µs
,,,,142.4µs,257.542µs
,,,,128.378µs,202.061µs
,,,,136.683µs,210.848µs
,,,,157.293µs,188.377µs
,,,,154.471µs,152.549µs
,,,,124.688µs,185.498µs
,,,,136.547µs,203.304µs
,,,,156.732µs,1.195243ms
,,,,156.059µs,198.436µs
,,,,150.371µs,441.151µs
,,,,147.929µs,146.829µs
,,,,149.035µs,143.918µs
,,,,125.641µs,128.939µs
,,,,119.789µs,164.986µs
,,,,127.154µs,153.067µs
,,,,144.285µs,217.484µs
,,,,153.369µs,178.804µs
,,,,123.063µs,140.49µs
,,,,122.561µs,173.852µs
,,,,137.071µs,163.827µs
,,,,142.798µs,148.697µs
,,,,120.077µs,141.531µs
,,,,151.793µs,141.241µs
,,,,123.996µs,144.012µs
,,,,140.321µs,140.977µs
,,,,123.752µs,160.177µs
,,,,124.565µs,122.669µs
,,,,118.404µs,129.106µs
,,,,117.462µs,130.592µs
,,,,122.959µs,128.82µs
,,,,134.015µs,135.12µs
,,,,118.611µs,147.548µs
,,,,124.172µs,139.711µs
,,,,121.237µs,137.347µs
,,,,115.701µs,157.09µs
,,,,126.492µs,183.092µs
,,,,111.094µs,150.603µs
,,,,106.039µs,166.303µs
,,,,107.171µs,142.078µs
,,,,121.125µs,151.991µs
,,,,110.699µs,273.203µs
,,,,121.066µs,219.349µs
,,,,121.85µs,200.089µs
,,,,125.362µs,167.826µs
,,,,115.007µs,191.468µs
,,,,111.249µs,167.141µs
,,,,134.023µs,176.645µs
,,,,114.872µs,156.299µs
,,,,122.053µs,152.462µs
,,,,132.694µs,179.652µs
,,,,134.614µs,166.815µs
,,,,131.223µs,194.845µs
,,,,134.804µs,173.617µs
,,,,134.11µs,160.093µs
,,,,122.982µs,151.179µs
,,,,131.911µs,184.159µs
,,,,244.035µs,218.464µs
,,,,160.6µs,178.002µs
,,,,166.158µs,173.114µs
,,,,170.05µs,184.873µs
,,,,154.296µs,336.51µs
,,,,189.601µs,197.734µs
,,,,160.775µs,182.836µs
,,,,142.139µs,160.957µs
,,,,169.489µs,151.453µs
,,,,322.611µs,312.165µs
,,,,191.353µs,1.277379ms
,,,,1.354961ms,759.419µs
,,,,557.468µs,272.602µs
,,,,902.724µs,202.081µs
,,,,187.981µs,164.783µs
,,,,164.991µs,160.334µs
,,,,156.738µs,174.727µs
,,,,169.436µs,155.83µs
,,,,160.522µs,214.908µs
,,,,136.319µs,197.304µs
,,,,136.896µs,198.182µs
,,,,148.046µs,161.37µs
,,,,156.12µs,189.909µs
,,,,155.559µs,205.776µs
,,,,155.261µs,194.994µs
,,,,131.063µs,156.685µs
,,,,126.415µs,193.968µs
,,,,138.158µs,189.209µs
,,,,153.649µs,164.515µs
,,,,125.563µs,138.365µs
,,,,134.091µs,141.929µs
,,,,149.687µs,172.397µs
,,,,126.511µs,160.145µs
,,,,135.779µs,258.942µs
,,,,136.695µs,210.734µs
,,,,121.576µs,196.689µs
,,,,128.604µs,161.857µs
,,,,127.48µs,253.608µs
,,,,127.507µs,245.672µs
,,,,143.037µs,648.084µs
,,,,120.031µs,316.37µs
,,,,142.884µs,187.588µs
,,,,123.38µs,126.572µs
,,,,130µs,113.197µs
,,,,344.112µs,118.026µs
,,,,230.145µs,113.23µs
,,,,125.054µs,130.022µs
,,,,138.777µs,120.108µs
,,,,123.282µs,131.051µs
,,,,139.913µs,115.185µs
,,,,170.221µs,119.077µs
,,,,140.408µs,145.99µs
,,,,126.297µs,134.945µs
,,,,131.61µs,129.76µs
,,,,167.962µs,162.745µs
,,,,136.323µs,131.146µs
